Format :             2																																																
Data set :           Main Set - As Loaded																																																
Original data file : C:\Users\sm3658\Desktop\test.txt										459.2565683
"Created on :         Wednesday, April 22, 2020"																																																

Time (*)             	FX Time (*)          	Channel              	Parametric 1         	Risetime             	Counts to Peak       	Counts               	Energy               	Duration             	Amplitude            	ASL                  	Threshold            	Average Frequency    	RMS(16)              	Reverberation Frequency 	Initiation Frequency 	Signal Strength      	Absolute Energy      	Partial Power 1      	Partial Power 2      	Partial Power 3      	Partial Power 4      	Frequency Centroid   	Peak Frequency       	Duration (FX)        	Amplitude (FX)       	Counts to Peak (FX)  	Counts (FX)          	Energy (FX)          	Absolute Energy (FX) 	Signal Strength (FX) 	Amplitude mV (FX)    	Risetime (FX)        	Rise Angle (FX)      	Decay Angle (FX)     	Average Frequency (FX) 	Reverberation Frequency (FX) 	Initiation Frequency (FX) 	Zero Crossings (FX)  	Zero Crossings Frequency (FX) 	Non Dimentional Amplitude (FX) 	FFT Amplitude (FX)   	FFT Peak Frequency (FX) 	FFT Width @10% (FX)  	FFT Width @30% (FX)  	FFT Crossings @30% (FX) 	Frequency Centroid (FX) 	Peak Frequency (FX)  	Peak Power (FX)     
39.8423575	39.842285	2	0.25543994	1019	27	46	49	1945	57	45	50	24	0.20752586	20	26	219340.75	4046.7488	71	12	16	0	302	151	741.40002	53.827785	18	22	1.4838282	1785.9144	92620.016	0.491348	698.20001	0.025076415	0.38512787	29.67359	92.59259	25.780579	373	251.55112	3.9331176	13.732385	152.58789	417.48047	374.75586	11	373.24521	152.58789	48.569519
48.07618825	48.07612925	2	0.31159398	1898	55	59	53	1995	57	46	50	30	0.21668142	41	28	236805.05	4587.3589	53	25	22	0	304	151	725.40002	53.935017	12	21	1.389847	1628.7845	86753.75	0.49745169	546.40002	0.033154745	0.10089862	28.949545	50.279331	21.961933	356	245.38185	4.1594915	11.768444	159.91211	408.93555	374.75586	16	310.32709	159.91211	47.228981
49.1200465	49.1200465	2	0.31556138	1816	65	77	59	1999	57	46	50	39	0.21973327	65	35	261991.95	5592.8594	50	26	24	0	329	161	0.40000001	50.031933	1	1	0.002904214	5.4953251	181.27995	0.3173925	0.2	0.52735263	0.52735263	2500	0	5000	0	0	0.70033669	8.0187798	161.13281	445.55664	415.03906	16	339.32257	161.13281	43.896767
51.28015825	51.28002475	2	0.33173621	1104	34	65	55	1895	57	46	50	34	0.22278512	39	30	243935.95	4948.4673	68	11	20	0	309	151	701.20001	54.300243	12	19	1.3467044	1579.2013	84060.789	0.51881468	486.60001	0.04160912	0.094123155	27.096407	32.618824	24.660912	338	241.0154	4.3277349	23.360971	153.80859	400.39063	355.22461	3	365.54584	153.80859	53.184418
51.57731575	51.57724175	2	0.33631396	1258	40	80	59	1988	57	46	50	40	0.22278512	54	31	264303.84	5624.667	67	12	21	0	305	156	710.40002	54.699665	11	21	1.4423673	1707.6119	90032.047	0.54322946	410.79999	0.055202305	0.075623766	29.56081	33.377838	26.77702	331	232.96735	4.286365	19.162653	153.80859	393.06641	310.05859	6	316.61612	153.80859	51.463715
52.09713575	52.09700775	2	0.33661917	1292	48	83	60	1906	57	46	50	44	0.22278512	57	37	267341.66	5917.1753	71	16	13	0	295	156	762.79999	54.65073	1	19	1.4978603	1715.9644	93495.898	0.54017764	17.200001	0.91585612	0.030027164	24.908234	24.14163	58.139534	334	218.93025	4.4071183	22.373907	155.0293	389.4043	73.242188	3	316.33942	155.0293	52.809437
53.0279245	53.0279245	2	0.34638509	1632	39	54	52	1992	57	46	50	27	0.22583698	41	23	231854.91	4448.978	52	23	24	0	325	151	0.60000002	50.597725	1	1	0.00409719	8.2007961	255.7451	0.33875546	0.2	1.4822489	1.3950685	1666.6666	0	5000	0	0	0.79474938	7.7003083	159.91211	539.55078	390.625	23	332.17365	159.91211	43.544762
53.23455475	53.234408	2	0.34760582	1333	40	76	58	1960	58	46	50	39	0.22278512	57	30	257267.5	5516.3735	57	26	17	0	297	156	660.79999	54.300243	10	20	1.2422113	1432.179	77538.375	0.51881468	282.79999	0.071513936	0.053543191	30.266344	26.455027	35.36068	321	242.88741	4.4214587	21.149967	153.80859	386.96289	103.75977	5	327.41324	153.80859	52.320793
53.99435575	53.994216	2	0.35309917	660	17	53	53	1979	57	46	50	27	0.22278512	27	25	236329.25	4493.998	63	21	15	0	295	151	807.20001	57.186234	16	17	1.5462542	1808.2654	96516.617	0.72328866	800.20001	0.050826084	1.4004976	21.060455	142.85715	19.995001	382	236.62042	6.0490994	15.118247	153.80859	439.45313	371.09375	14	314.39554	153.80859	49.404629
54.40132625	54.4011815	2	0.35462508	1604	53	63	55	1949	57	46	50	32	0.22583698	28	33	243594.34	4900.9238	70	12	18	0	299	151	812.59998	55.580589	15	23	1.5499504	1849.2888	96747.336	0.60121465	452.39999	0.062911317	0.078954592	28.304209	22.209883	33.156498	411	252.89195	5.0497203	18.165365	152.58789	399.16992	354.00391	6	311.68161	152.58789	50.999485
54.9587845	54.9587845	2	0.3582873	723	29	62	52	1828	58	46	50	34	0.22583698	29	40	230686.75	4874.5806	66	16	18	0	304	156	665.40002	56.849964	19	22	1.2982616	1605.129	81037.016	0.695822	635.79999	0.059632618	0.90850681	33.06282	101.35135	29.883612	344	258.49112	5.713438	15.474252	155.0293	439.45313	349.12109	10	323.13611	155.0293	49.606792
